attack,health,mana,name,rarity,desc_cut,격노,과부하,도발,독성,돌진,생명력흡수,선택,연계,은신,적응,주문공격력,질풍,천상의보호막,침묵,exp
3,3,3,SI:7 요원,3,연계: 피해를 2 줍니다.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,5,가시덤불 호랑이,1,은신,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,3,3,가시덩굴 사냥꾼,2,전투의 함성:11 멧돼지를1마리 소환합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,6,가젯잔 경매인,3,내가 주문을 시전할 때마다 카드를 1장 뽑습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,가혹한 하사관,1,전투의 함성: 이번 턴에 하수인 하나에게 공격력을 +2 부여합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,3,거품 무는 광전사,3,하수인이 피해를 받을 때마다 공격력을+1 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,검 제작의 대가,3,"내 턴이 끝날 때,다른 무작위 아군 하수인 하나에게 공격력을 +1 부여합니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,검은무쇠 드워프,1,전투의 함성: 이번 턴에 하수인 하나에게 공격력을 +2 부여합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,2,고대의 감시자,3,이 하수인은 적을공격할 수 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,고대의 마법사,3,전투의 함성:양옆의 하수인들에게 주문 공격력 +1을 부여합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,고대의 양조사,1,전투의 함성: 전장의 아군 하수인 하나를 내 손으로 다시 가져옵니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,고통의 수행사제,1,이 하수인이 피해를받을 때마다 카드를1장 뽑습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,공격대장,2,내 다른 하수인들이 공격력을 +1 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,공포의 지옥불정령,2,전투의 함성:다른 모든 캐릭터에게 피해를 1 줍니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,공포의 해적,1,도발내 무기의 공격력만큼비용이 감소합니다.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,공허방랑자,2,도발,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,공허의 괴물,3,전투의 함성: 이 하수인 양옆에 있는 하수인들을 처치하고 그들의 공격력과 생명력을 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,광기의 연금술사,3,전투의 함성: 하수인 하나의 공격력과 생명력을 바꿉니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,광기의 화염술사,3,"내 주문이 시전된 후에, 모든 하수인에게피해를 1 줍니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,광포한 늑대 우두머리,1,양옆의 하수인들이 공격력을 +1 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,6,괴수,5,죽음의 메아리: 상대편에게 33 핑클 아인혼을 소환해 줍니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,5,구루바시 광전사,2,이 하수인은 피해를받을 때마다 공격력을+3 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,9,군주 자락서스,5,전투의 함성: 내 영웅을 군주 자락서스로 교체합니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,굶주린 게,4,전투의 함성: 멀록 1마리를 처치하고 +2+2를 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5,굶주린 대머리수리,2,내가 야수를 소환할 때마다카드를 1장 뽑습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,굶주린 식인 구울,1,하수인이 죽을 때마다 공격력을 +1 얻습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,8,그롬마쉬 헬스크림,5,돌진격노: 공격력 +6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,8,그룰,5,"각 턴이 끝날 때, +1+1을 얻습니다.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
